GEO_ID,BachDegrees,TotalPop,CountyName,NormBach
17031060100,1158.00,2282.00, Cook County,50.74496056
17031060200,928.00,1841.00, Cook County,50.40738729
17031060300,1079.00,2533.00, Cook County,42.59771023
17031060400,1577.00,3056.00, Cook County,51.60340314
17031060500,377.00,1010.00, Cook County,37.32673267
17031060800,2185.00,4940.00, Cook County,44.23076923
17031060900,3101.00,6374.00, Cook County,48.65076875
17031061000,1124.00,2076.00, Cook County,54.14258189
17031061100,907.00,1328.00, Cook County,68.29819277
17031061200,1007.00,1773.00, Cook County,56.7963903
17031061500,1007.00,1843.00, Cook County,54.63917526
17031061800,603.00,1260.00, Cook County,47.85714286
17031061901,1395.00,3122.00, Cook County,44.68289558
17031061902,2045.00,4373.00, Cook County,46.76423508
17031062000,1831.00,2712.00, Cook County,67.51474926
17031062100,2194.00,3521.00, Cook County,62.31184323
17031062200,1399.00,2580.00, Cook County,54.2248062
17031062300,651.00,1241.00, Cook County,52.45769541
17031062400,653.00,1256.00, Cook County,51.99044586
17031062500,660.00,1342.00, Cook County,49.18032787
17031062600,730.00,1649.00, Cook County,44.26925409
17031062700,1208.00,2407.00, Cook County,50.18695472
17031062800,1540.00,2797.00, Cook County,55.05899178
17031062900,1892.00,3334.00, Cook County,56.74865027
17031063000,1951.00,3154.00, Cook County,61.85795815
17031063100,1132.00,2089.00, Cook County,54.18860699
17031063200,2893.00,5970.00, Cook County,48.45896147
17031063301,1555.00,2752.00, Cook County,56.50436047
17031063302,1767.00,3614.00, Cook County,48.89319314
17031063303,425.00,1128.00, Cook County,37.67730496
17031063400,1278.00,2228.00, Cook County,57.36086176
17031070101,1343.00,3228.00, Cook County,41.6047088
17031070102,1787.00,3159.00, Cook County,56.56853435
17031070103,743.00,1461.00, Cook County,50.85557837
17031070200,1994.00,3702.00, Cook County,53.86277688
17031070300,1883.00,3156.00, Cook County,59.66413181
17031070400,1006.00,2754.00, Cook County,36.52868555
17031070500,1379.00,2733.00, Cook County,50.45737285
17031070600,1109.00,2415.00, Cook County,45.92132505
17031070700,1341.00,3069.00, Cook County,43.69501466
17031071000,1161.00,4241.00, Cook County,27.37561896
17031071100,1556.00,2959.00, Cook County,52.58533288
17031071200,914.00,1662.00, Cook County,54.99398315
17031071300,1628.00,3754.00, Cook County,43.36707512
17031071400,2317.00,4667.00, Cook County,49.64645382
17031071500,2830.00,5638.00, Cook County,50.19510465
17031071600,611.00,1509.00, Cook County,40.49039099
17031071700,608.00,1297.00, Cook County,46.87740941
17031071800,952.00,2091.00, Cook County,45.52845528
17031080100,2754.00,6474.00, Cook County,42.53938832
17031080201,1295.00,2897.00, Cook County,44.70141526
17031080202,1276.00,3232.00, Cook County,39.48019802
17031080300,2259.00,4372.00, Cook County,51.66971638
17031080400,758.00,3377.00, Cook County,22.44595795
17031081000,2821.00,7897.00, Cook County,35.72242624
17031081100,2181.00,4155.00, Cook County,52.49097473
17031081201,1913.00,4550.00, Cook County,42.04395604
17031081202,1302.00,2708.00, Cook County,48.07976366
17031081300,1950.00,5301.00, Cook County,36.78551217
17031081401,839.00,2006.00, Cook County,41.82452642
17031081402,1578.00,4840.00, Cook County,32.60330579
17031081403,4070.00,8533.00, Cook County,47.69717567
17031081500,2152.00,4473.00, Cook County,48.11088755
17031081600,1763.00,3693.00, Cook County,47.73896561
17031081700,2210.00,4309.00, Cook County,51.28800186
17031081800,5237.00,10267.00, Cook County,51.00808415
17031081900,343.00,901.00, Cook County,38.06881243
17031090100,872.00,2673.00, Cook County,32.62252151
17031090200,1643.00,4942.00, Cook County,33.24564953
